,crn,date,subj,sub_num,course,location,section,description,instructor,credit
0,10005,"4:10 - 6:00 PM, MW",AAS,017,AAS 017,WELLMN 202,001,Women in Africa,"Adejunmobi, M",4.0
1,10006,"4:10 - 5:00 PM, T",AAS,018,AAS 018,WELLMN 101,A01,Intro Caribbean Studies,"Ng'weno, B",4.0
2,10006,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A01,Intro Caribbean Studies,"Ng'weno, B",4.0
3,10007,"5:10 - 6:00 PM, T",AAS,018,AAS 018,WELLMN 105,A02,Intro Caribbean Studies,"Ng'weno, B",4.0
4,10007,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A02,Intro Caribbean Studies,"Ng'weno, B",4.0
5,10008,"4:10 - 5:00 PM, R",AAS,018,AAS 018,WELLMN 101,A03,Intro Caribbean Studies,"Ng'weno, B",4.0
6,10008,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A03,Intro Caribbean Studies,"Ng'weno, B",4.0
7,10009,"5:10 - 6:00 PM, R",AAS,018,AAS 018,WELLMN 27,A04,Intro Caribbean Studies,"Ng'weno, B",4.0
8,10009,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A04,Intro Caribbean Studies,"Ng'weno, B",4.0
9,44236,"6:10 - 7:00 PM, T",AAS,050,AAS 050,WELLMN 105,A01,Black Images,"White, E",4.0
10,44236,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A01,Black Images,"White, E",4.0
11,44237,"7:10 - 8:00 PM, T",AAS,050,AAS 050,WELLMN 105,A02,Black Images,"White, E",4.0
12,44237,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A02,Black Images,"White, E",4.0
13,44238,"6:10 - 7:00 PM, R",AAS,050,AAS 050,OLSON 125,A03,Black Images,"White, E",4.0
14,44238,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A03,Black Images,"White, E",4.0
15,44239,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A04,Black Images,"White, E",4.0
16,44239,"7:10 - 8:00 PM, R",AAS,050,AAS 050,WELLMN 105,A04,Black Images,"White, E",4.0
17,44240,"12:10 - 2:00 PM, TR",AAS,107B,AAS 107B,WELLMN 201,001,Afr Heritage North Am,"White, E",4.0
18,10022,"2:10 - 4:00 PM, MW",AAS,145A,AAS 145A,HOAGLD 113,001,Blk Soc & Pol Thought,"Weber, B",4.0
19,45348,"12:10 - 2:00 PM, TR",AAS,155A,AAS 155A,REMOTE,001,Afram Dance & Culture,4.0,
20,44241,"4:10 - 6:00 PM, TR",AAS,176,AAS 176,HOAGLD 113,001,Politics of Resources,"Mukiibi, E",4.0
21,44242,"12:10 - 2:00 PM, MW",AAS,177,AAS 177,STORER 1342,001,Politics of Life in Afri,"Taodzera, S",4.0
22,44389,"10:00 - 11:50 AM, MW",AAS,183A,AAS 183A,HOAGLD 113,001,"Police, Prison & Protest","Weber, B",4.0
23,10061,"1:10 - 4:00 PM, R",AAS,204,AAS 204,HART 2215,001,Methodology,"Ng'weno, B",4.0
24,10670,"4:10 - 5:00 PM, M",AGC,290,AGC 290,OLSON 250,001,Seminar,"Anastasio, C",1.0
25,10671,"4:10 - 5:00 PM, W",AGC,290,AGC 290,PLESC TBA,002,Seminar,"Anastasio, C",1.0
26,12388,"4:10 - 6:00 PM, MW",ARE,018,ARE 018,MDSC C 180,001,Business Law,"Lyon, E",4.0
27,12471,"5:10 - 6:00 PM, T",ARE,100A,ARE 100A,WELLMN 201,A01,Intermed Microeconomics,"Shenoy, A",4.0
28,12471,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A01,Intermed Microeconomics,"Shenoy, A",4.0
29,12472,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A02,Intermed Microeconomics,"Shenoy, A",4.0
30,12472,"6:10 - 7:00 PM, T",ARE,100A,ARE 100A,OLSON 105,A02,Intermed Microeconomics,"Shenoy, A",4.0
31,12473,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A03,Intermed Microeconomics,"Shenoy, A",4.0
32,12473,"5:10 - 6:00 PM, W",ARE,100A,ARE 100A,OLSON 105,A03,Intermed Microeconomics,"Shenoy, A",4.0
33,12474,"6:10 - 7:00 PM, W",ARE,100A,ARE 100A,OLSON 267,A04,Intermed Microeconomics,"Shenoy, A",4.0
34,12474,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A04,Intermed Microeconomics,"Shenoy, A",4.0
35,12475,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A05,Intermed Microeconomics,"Shenoy, A",4.0
36,12475,"6:10 - 7:00 PM, T",ARE,100A,ARE 100A,VEIMYR 116,A05,Intermed Microeconomics,"Shenoy, A",4.0
37,12476,"7:10 - 8:00 PM, T",ARE,100A,ARE 100A,STORER 1342,A06,Intermed Microeconomics,"Shenoy, A",4.0
38,12476,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A06,Intermed Microeconomics,"Shenoy, A",4.0
39,12477,"6:10 - 7:00 PM, M",ARE,100B,ARE 100B,OLSON 167,A01,Intermed Microeconomics,"Goodrich, R",4.0
40,12477,TBA,ARE,100B,ARE 100B,REMASY,A01,Intermed Microeconomics,"Goodrich, R",4.0
41,12478,TBA,ARE,100B,ARE 100B,REMASY,A02,Intermed Microeconomics,"Goodrich, R",4.0
42,12478,"7:10 - 8:00 PM, M",ARE,100B,ARE 100B,OLSON 141,A02,Intermed Microeconomics,"Goodrich, R",4.0
43,12479,TBA,ARE,100B,ARE 100B,REMASY,A03,Intermed Microeconomics,"Goodrich, R",4.0
44,12479,"6:10 - 7:00 PM, T",ARE,100B,ARE 100B,HART 1128,A03,Intermed Microeconomics,"Goodrich, R",4.0
45,12480,TBA,ARE,100B,ARE 100B,REMASY,A04,Intermed Microeconomics,"Goodrich, R",4.0
46,12480,"7:10 - 8:00 PM, T",ARE,100B,ARE 100B,OLSON 227,A04,Intermed Microeconomics,"Goodrich, R",4.0
47,12481,TBA,ARE,100B,ARE 100B,REMASY,A05,Intermed Microeconomics,"Goodrich, R",4.0
48,12481,"6:10 - 7:00 PM, W",ARE,100B,ARE 100B,HART 1128,A05,Intermed Microeconomics,"Goodrich, R",4.0
49,12482,TBA,ARE,100B,ARE 100B,REMASY,A06,Intermed Microeconomics,"Goodrich, R",4.0
50,12482,"7:10 - 8:00 PM, W",ARE,100B,ARE 100B,OLSON 141,A06,Intermed Microeconomics,"Goodrich, R",4.0
51,12485,"6:10 - 7:00 PM, T",ARE,100B,ARE 100B,WELLMN 115,B01,Intermed Microeconomics,"Constantine, J",4.0
52,12485,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B01,Intermed Microeconomics,"Constantine, J",4.0
53,12486,"7:10 - 8:00 PM, T",ARE,100B,ARE 100B,OLSON 207,B02,Intermed Microeconomics,"Constantine, J",4.0
54,12486,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B02,Intermed Microeconomics,"Constantine, J",4.0
55,12487,"6:10 - 7:00 PM, R",ARE,100B,ARE 100B,CRUESS 107,B03,Intermed Microeconomics,"Constantine, J",4.0
56,12487,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B03,Intermed Microeconomics,"Constantine, J",4.0
57,12488,"7:10 - 8:00 PM, R",ARE,100B,ARE 100B,WELLMN 7,B04,Intermed Microeconomics,"Constantine, J",4.0
58,12488,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B04,Intermed Microeconomics,"Constantine, J",4.0
59,12489,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A01,Econometrics,"Smith, A",4.0
60,12489,"6:10 - 7:00 PM, T",ARE,106,ARE 106,HART 1120,A01,Econometrics,"Smith, A",4.0
61,12490,"7:10 - 8:00 PM, T",ARE,106,ARE 106,OLSON 167,A02,Econometrics,"Smith, A",4.0
62,12490,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A02,Econometrics,"Smith, A",4.0
63,12491,"6:10 - 7:00 PM, T",ARE,106,ARE 106,WELLMN 233,A03,Econometrics,"Smith, A",4.0
64,12491,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A03,Econometrics,"Smith, A",4.0
65,12492,"7:10 - 8:00 PM, T",ARE,106,ARE 106,OLSON 141,A04,Econometrics,"Smith, A",4.0
66,12492,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A04,Econometrics,"Smith, A",4.0
67,12493,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A05,Econometrics,"Smith, A",4.0
68,12493,"5:10 - 6:00 PM, W",ARE,106,ARE 106,WELLMN 205,A05,Econometrics,"Smith, A",4.0
69,12494,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A06,Econometrics,"Smith, A",4.0
70,12494,"6:10 - 7:00 PM, W",ARE,106,ARE 106,STORER 1342,A06,Econometrics,"Smith, A",4.0
71,12495,"5:10 - 6:00 PM, W",ARE,106,ARE 106,WELLMN 229,A07,Econometrics,"Smith, A",4.0
72,12495,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A07,Econometrics,"Smith, A",4.0
73,12496,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A08,Econometrics,"Smith, A",4.0
74,12496,"6:10 - 7:00 PM, W",ARE,106,ARE 106,OLSON 227,A08,Econometrics,"Smith, A",4.0
75,12497,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A01,Econometrics for Bus Dec,"Ghanem, D",4.0
76,12497,"5:10 - 6:00 PM, T",ARE,107,ARE 107,STORER 1344,A01,Econometrics for Bus Dec,"Ghanem, D",4.0
77,12498,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A02,Econometrics for Bus Dec,"Ghanem, D",4.0
78,12498,"6:10 - 7:00 PM, T",ARE,107,ARE 107,WELLMN 25,A02,Econometrics for Bus Dec,"Ghanem, D",4.0
79,12499,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A03,Econometrics for Bus Dec,"Ghanem, D",4.0
80,12499,"5:10 - 6:00 PM, W",ARE,107,ARE 107,WELLMN 7,A03,Econometrics for Bus Dec,"Ghanem, D",4.0
81,12500,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A04,Econometrics for Bus Dec,"Ghanem, D",4.0
82,12500,"6:10 - 7:00 PM, W",ARE,107,ARE 107,WELLMN 7,A04,Econometrics for Bus Dec,"Ghanem, D",4.0
83,45725,"6:10 - 7:00 PM, T",ARE,107,ARE 107,TBA,A06,Econometrics for Bus Dec,"Ghanem, D",4.0
84,45725,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A06,Econometrics for Bus Dec,"Ghanem, D",4.0
85,12501,"4:10 - 6:00 PM, MW",ARE,112,ARE 112,KLEIBR 3,001,Organization Management,"Lundblad, G",4.0
86,12502,"12:10 - 2:00 PM, MW",ARE,113,ARE 113,WELLMN 109,001,Marketing Management,"Lundblad, G",4.0
87,12503,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A01,Economic Development,"Lybbert, T",4.0
88,12503,"5:10 - 6:00 PM, T",ARE,115A,ARE 115A,YOUNG 192,A01,Economic Development,"Lybbert, T",4.0
89,12504,"6:10 - 7:00 PM, T",ARE,115A,ARE 115A,OLSON 227,A02,Economic Development,"Lybbert, T",4.0
90,12504,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A02,Economic Development,"Lybbert, T",4.0
91,12505,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A03,Economic Development,"Lybbert, T",4.0
92,12505,"6:10 - 7:00 PM, T",ARE,115A,ARE 115A,OLSON 167,A03,Economic Development,"Lybbert, T",4.0
93,12506,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A04,Economic Development,"Lybbert, T",4.0
94,12506,"7:10 - 8:00 PM, T",ARE,115A,ARE 115A,BAINER 1134,A04,Economic Development,"Lybbert, T",4.0
95,12507,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A05,Economic Development,"Lybbert, T",4.0
96,12507,"5:10 - 6:00 PM, W",ARE,115A,ARE 115A,VEIMYR 116,A05,Economic Development,"Lybbert, T",4.0
97,12508,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A06,Economic Development,"Lybbert, T",4.0
98,12508,"6:10 - 7:00 PM, W",ARE,115A,ARE 115A,OLSON 167,A06,Economic Development,"Lybbert, T",4.0
99,12509,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A07,Economic Development,"Lybbert, T",4.0
100,12509,"6:10 - 7:00 PM, W",ARE,115A,ARE 115A,OLSON 125,A07,Economic Development,"Lybbert, T",4.0
101,12510,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A08,Economic Development,"Lybbert, T",4.0
102,12510,"7:10 - 8:00 PM, W",ARE,115A,ARE 115A,OLSON 125,A08,Economic Development,"Lybbert, T",4.0
103,12511,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,HART 1120,A09,Economic Development,"Lybbert, T",4.0
104,12511,"5:10 - 6:00 PM, T",ARE,115A,ARE 115A,TBA,A09,Economic Development,"Lybbert, T",4.0
105,12512,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,WELLMN 106,A10,Economic Development,"Lybbert, T",4.0
106,12512,"6:10 - 7:00 PM, T",ARE,115A,ARE 115A,OLSON 141,A10,Economic Development,"Lybbert, T",4.0
107,12513,"3:10 - 4:30 PM, TR",ARE,121,ARE 121,VEIMYR 212,A01,Econ of Ag Sustain,"Merel, P",4.0
108,12513,"5:10 - 6:00 PM, W",ARE,121,ARE 121,WELLMN 226,A01,Econ of Ag Sustain,"Merel, P",4.0
109,12514,"6:10 - 7:00 PM, W",ARE,121,ARE 121,WELLMN 226,A02,Econ of Ag Sustain,"Merel, P",4.0
110,12514,"3:10 - 4:30 PM, TR",ARE,121,ARE 121,VEIMYR 212,A02,Econ of Ag Sustain,"Merel, P",4.0
111,12515,"10:00 - 11:50 AM, TR",ARE,132,ARE 132,WELLMN 234,001,Coop Business Enterprise,"Kiesel, K",4.0
112,12516,"1:40 - 3:00 PM, TR",ARE,136,ARE 136,GROVE 1309,A01,Managerial Marketing,"Kiesel, K",4.0
113,12516,"6:10 - 7:00 PM, R",ARE,136,ARE 136,OLSON 250,A01,Managerial Marketing,"Kiesel, K",4.0
114,12517,"7:10 - 8:00 PM, R",ARE,136,ARE 136,OLSON 250,A02,Managerial Marketing,"Kiesel, K",4.0
115,12517,"1:40 - 3:00 PM, TR",ARE,136,ARE 136,GROVE 1309,A02,Managerial Marketing,"Kiesel, K",4.0
116,12519,"6:10 - 8:00 PM, TR",ARE,145,ARE 145,STORER 1322,001,Farm & Rural Res Apprais,"Maus, J",4.0
117,12520,"5:10 - 6:00 PM, T",ARE,146,ARE 146,HOAGLD 108,A01,Business/Gov't Reg/Soc,"Novan, K",4.0
118,12520,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A01,Business/Gov't Reg/Soc,"Novan, K",4.0
119,12521,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A02,Business/Gov't Reg/Soc,"Novan, K",4.0
120,12521,"6:10 - 7:00 PM, T",ARE,146,ARE 146,OLSON 251,A02,Business/Gov't Reg/Soc,"Novan, K",4.0
121,12522,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A03,Business/Gov't Reg/Soc,"Novan, K",4.0
122,12522,"6:10 - 7:00 PM, W",ARE,146,ARE 146,STORER 1344,A03,Business/Gov't Reg/Soc,"Novan, K",4.0
123,12523,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A04,Business/Gov't Reg/Soc,"Novan, K",4.0
124,12523,"7:10 - 8:00 PM, W",ARE,146,ARE 146,WELLMN 201,A04,Business/Gov't Reg/Soc,"Novan, K",4.0
125,45726,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A05,Business/Gov't Reg/Soc,"Novan, K",4.0
126,45726,"6:10 - 7:00 PM, W",ARE,146,ARE 146,TBA,A05,Business/Gov't Reg/Soc,"Novan, K",4.0
127,45727,"7:10 - 8:00 PM, W",ARE,146,ARE 146,TBA,A06,Business/Gov't Reg/Soc,"Novan, K",4.0
128,45727,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A06,Business/Gov't Reg/Soc,"Novan, K",4.0
129,12525,"5:10 - 6:00 PM, M",ARE,155,ARE 155,WELLMN 205,A01,Oper Res & Mgmt Sci,"Constantine, J",4.0
130,12525,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A01,Oper Res & Mgmt Sci,"Constantine, J",4.0
131,12526,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A02,Oper Res & Mgmt Sci,"Constantine, J",4.0
132,12526,"6:10 - 7:00 PM, M",ARE,155,ARE 155,WELLMN 205,A02,Oper Res & Mgmt Sci,"Constantine, J",4.0
133,12527,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A03,Oper Res & Mgmt Sci,"Constantine, J",4.0
134,12527,"5:10 - 6:00 PM, M",ARE,155,ARE 155,WELLMN 109,A03,Oper Res & Mgmt Sci,"Constantine, J",4.0
135,12528,"6:10 - 7:00 PM, M",ARE,155,ARE 155,WELLMN 109,A04,Oper Res & Mgmt Sci,"Constantine, J",4.0
136,12528,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A04,Oper Res & Mgmt Sci,"Constantine, J",4.0
137,12529,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A05,Oper Res & Mgmt Sci,"Constantine, J",4.0
138,12529,"5:10 - 6:00 PM, T",ARE,155,ARE 155,SOCSCI 80,A05,Oper Res & Mgmt Sci,"Constantine, J",4.0
139,12530,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A06,Oper Res & Mgmt Sci,"Constantine, J",4.0
140,12530,"6:10 - 7:00 PM, T",ARE,155,ARE 155,WELLMN 205,A06,Oper Res & Mgmt Sci,"Constantine, J",4.0
141,12531,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A01,Principles of Finance,"Hilscher, J",4.0
142,12531,"6:10 - 7:00 PM, T",ARE,171,ARE 171,WELLMN 109,A01,Principles of Finance,"Hilscher, J",4.0
143,12532,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A02,Principles of Finance,"Hilscher, J",4.0
144,12532,"7:10 - 8:00 PM, T",ARE,171,ARE 171,WELLMN 109,A02,Principles of Finance,"Hilscher, J",4.0
145,12533,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A03,Principles of Finance,"Hilscher, J",4.0
146,12533,"6:10 - 7:00 PM, T",ARE,171,ARE 171,SOCSCI 80,A03,Principles of Finance,"Hilscher, J",4.0
147,12534,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A04,Principles of Finance,"Hilscher, J",4.0
148,12534,"7:10 - 8:00 PM, T",ARE,171,ARE 171,SOCSCI 80,A04,Principles of Finance,"Hilscher, J",4.0
149,12535,"6:10 - 7:00 PM, W",ARE,171,ARE 171,SOCSCI 80,A05,Principles of Finance,"Hilscher, J",4.0
150,12535,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A05,Principles of Finance,"Hilscher, J",4.0
151,12536,"7:10 - 8:00 PM, W",ARE,171,ARE 171,SOCSCI 80,A06,Principles of Finance,"Hilscher, J",4.0
152,12536,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A06,Principles of Finance,"Hilscher, J",4.0
153,45729,"6:10 - 7:00 PM, W",ARE,171,ARE 171,WELLMN 5,A07,Principles of Finance,"Hilscher, J",4.0
154,45729,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A07,Principles of Finance,"Hilscher, J",4.0
155,45730,"7:10 - 8:00 PM, W",ARE,171,ARE 171,WELLMN 5,A08,Principles of Finance,"Hilscher, J",4.0
156,45730,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A08,Principles of Finance,"Hilscher, J",4.0
157,12537,TBA,ARE,172,ARE 172,REMASY,A01,Financial Mgmt of Firm,"Goodrich, R",4.0
158,12537,"6:10 - 7:00 PM, T",ARE,172,ARE 172,OLSON 217,A01,Financial Mgmt of Firm,"Goodrich, R",4.0
159,12538,TBA,ARE,172,ARE 172,REMASY,A02,Financial Mgmt of Firm,"Goodrich, R",4.0
160,12538,"7:10 - 8:00 PM, T",ARE,172,ARE 172,STORER 1344,A02,Financial Mgmt of Firm,"Goodrich, R",4.0
161,12539,TBA,ARE,172,ARE 172,REMASY,A03,Financial Mgmt of Firm,"Goodrich, R",4.0
162,12539,"6:10 - 7:00 PM, W",ARE,172,ARE 172,HOAGLD 108,A03,Financial Mgmt of Firm,"Goodrich, R",4.0
163,12540,"7:10 - 8:00 PM, W",ARE,172,ARE 172,GIEDT 1007,A04,Financial Mgmt of Firm,"Goodrich, R",4.0
164,12540,TBA,ARE,172,ARE 172,REMASY,A04,Financial Mgmt of Firm,"Goodrich, R",4.0
165,45271,"6:10 - 7:00 PM, T",ARE,176,ARE 176,HUTCH 102,A01,Environmental Economics,"Hansen-Lewis, J",4.0
166,45271,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A01,Environmental Economics,"Hansen-Lewis, J",4.0
167,45272,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A02,Environmental Economics,"Hansen-Lewis, J",4.0
168,45272,"7:10 - 8:00 PM, T",ARE,176,ARE 176,HART 1130,A02,Environmental Economics,"Hansen-Lewis, J",4.0
169,45273,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A03,Environmental Economics,"Hansen-Lewis, J",4.0
170,45273,"6:10 - 7:00 PM, M",ARE,176,ARE 176,GIEDT 1007,A03,Environmental Economics,"Hansen-Lewis, J",4.0
171,45274,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A04,Environmental Economics,"Hansen-Lewis, J",4.0
172,45274,"7:10 - 8:00 PM, M",ARE,176,ARE 176,GIEDT 1007,A04,Environmental Economics,"Hansen-Lewis, J",4.0
173,12719,"10:30 - 11:50 AM, TR",ARE,200B,ARE 200B,CRUESS 107,001,Micro Theory,"Carvajal Escobar, A",4.0
174,12719,TBA,ARE,200B,ARE 200B,TBA,001,Micro Theory,"Carvajal Escobar, A",4.0
175,12720,"10:00 - 11:50 AM, MW",ARE,202B,ARE 202B,PHYSIC 148,001,Applied Microeconomics,"Merel, P",4.0
176,12721,"10:00 - 11:50 AM, MW",ARE,204B,ARE 204B,STORER 1344,001,Micro Analysis II,"Sexton, R",4.0
177,12722,"2:10 - 3:30 PM, TR",ARE,215B,ARE 215B,OLSON 6,001,Open Macro Development,"Shenoy, A",4.0
178,12722,"3:40 - 4:00 PM, TR",ARE,215B,ARE 215B,OLSON 6,001,Open Macro Development,"Shenoy, A",4.0
179,12723,"3:40 - 4:00 PM, MW",ARE,232,ARE 232,WELLMN 5,001,Commodity Markets,"Goodhue,Sexton",4.0
180,12723,"2:10 - 3:30 PM, MW",ARE,232,ARE 232,WELLMN 5,001,Commodity Markets,"Goodhue,Sexton",4.0
181,12724,"11:00 - 11:50 AM, F",ARE,240A,ARE 240A,BAINER 1130,001,Econometric Methods,"Smith, A",4.0
182,12724,"12:10 - 1:30 PM, TR",ARE,240A,ARE 240A,BAINER 1130,001,Econometric Methods,"Smith, A",4.0
183,12725,"9:00 - 9:50 AM, M",ARE,240C,ARE 240C,SOCSCI 2102,001,Time Series Econometrics,"Gafarov, B",4.0
184,12725,"12:10 - 1:30 PM, MW",ARE,240C,ARE 240C,H GYM 290,001,Time Series Econometrics,"Gafarov, B",4.0
185,12726,"2:10 - 3:30 PM, MW",ARE,256B,ARE 256B,STORER 1342,001,Applied Econometrics II,"Gafarov, B",4.0
186,12726,"10:00 - 10:50 AM, F",ARE,256B,ARE 256B,WICKSN 1020,001,Applied Econometrics II,"Gafarov, B",4.0
187,12727,"2:10 - 4:00 PM, TR",ARE,275,ARE 275,WELLMN 127,001,Resource & Environ Econ,"Agerton, M",4.0
188,12728,"4:10 - 6:00 PM, TR",ARE,277,ARE 277,WICKSN 2124,001,Natural Resource Econ,"Sanchirico, J",4.0
189,12729,"12:10 - 1:30 PM, W",ARE,293,ARE 293,HART 1106,001,Anlys Cal Ag & Resources,"Goodhue, R",3.0
190,12729,TBA,ARE,293,ARE 293,TBA,001,Anlys Cal Ag & Resources,"Goodhue, R",3.0
191,10651,"3:10 - 5:00 PM, M",AED,100,AED 100,WELLMN 115,001,Ag & Env Educ,"Martindale, M",3.0
192,10651,"3:10 - 6:00 PM, W",AED,100,AED 100,WELLMN 115,001,Ag & Env Educ,"Martindale, M",3.0
193,45081,"9:00 - 11:50 AM, R",AED,172,AED 172,TBA,001,Multi-Media Prod,"Teixeira, K",3.0
194,45081,"10:00 - 11:50 AM, T",AED,172,AED 172,OLSON 101,001,Multi-Media Prod,"Teixeira, K",3.0
195,10666,TBA,AED,300,AED 300,TBA,001,Tchng Field Experience,"Van Alfen, N",2.0
