,crn,date,subj,sub_num,course,location,section,description,instructor,credit
0,@,TBA,AAS,099,AAS 099,TBA,-,Special Study,The Staff,V
1,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
2,@,TBA,AAS,192,AAS 192,TBA,-,Intern Afram Studies,The Staff,V
3,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
4,@,TBA,AAS,197T,AAS 197T,TBA,-,Tutoring Bl Studies,The Staff,V
5,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
6,@,TBA,AAS,198,AAS 198,TBA,-,Directed Gp Study,The Staff,V
7,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
8,@,TBA,AAS,199,AAS 199,TBA,-,Special Study,The Staff,V
9,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
10,@,TBA,AAS,298A,AAS 298A,TBA,-,Group Study,The Staff,V
11,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
12,@,TBA,AAS,298B,AAS 298B,TBA,-,Group Study,The Staff,V
13,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
14,@,TBA,AAS,299,AAS 299,TBA,-,Research,The Staff,V
15,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
16,@,TBA,AGC,298,AGC 298,TBA,-,Group Study,The Staff,V
17,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
18,@,TBA,AGC,299,AGC 299,TBA,-,Research,The Staff,V
19,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
20,@,TBA,ARE,098,ARE 098,TBA,-,Directed Group Study,The Staff,V
21,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
22,@,TBA,ARE,099,ARE 099,TBA,-,Special Study Undergrad,The Staff,V
23,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
24,@,TBA,ARE,192,ARE 192,TBA,-,Internship,The Staff,V
25,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
26,@,TBA,ARE,197T,ARE 197T,TBA,-,Tutoring Managerial Econ,The Staff,V
27,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
28,@,TBA,ARE,198,ARE 198,TBA,-,Directed Group Study,The Staff,V
29,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
30,@,TBA,ARE,199,ARE 199,TBA,-,Special Study,The Staff,V
31,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
