,crn,date,subj,sub_num,course,location,section,description,instructor,credit
0,10005,"4:10 - 6:00 PM, MW",AAS,017,AAS 017,WELLMN 202,001,Women in Africa,"Adejunmobi, M",4.0
1,10006,"4:10 - 5:00 PM, T",AAS,018,AAS 018,WELLMN 101,A01,Intro Caribbean Studies,"Ng'weno, B",4.0
2,10006,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A01,Intro Caribbean Studies,"Ng'weno, B",4.0
3,10007,"5:10 - 6:00 PM, T",AAS,018,AAS 018,WELLMN 105,A02,Intro Caribbean Studies,"Ng'weno, B",4.0
4,10007,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A02,Intro Caribbean Studies,"Ng'weno, B",4.0
5,10008,"4:10 - 5:00 PM, R",AAS,018,AAS 018,WELLMN 101,A03,Intro Caribbean Studies,"Ng'weno, B",4.0
6,10008,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A03,Intro Caribbean Studies,"Ng'weno, B",4.0
7,10009,"5:10 - 6:00 PM, R",AAS,018,AAS 018,WELLMN 27,A04,Intro Caribbean Studies,"Ng'weno, B",4.0
8,10009,"10:30 - 11:50 AM, TR",AAS,018,AAS 018,WELLMN 226,A04,Intro Caribbean Studies,"Ng'weno, B",4.0
9,44236,"6:10 - 7:00 PM, T",AAS,050,AAS 050,WELLMN 105,A01,Black Images,"White, E",4.0
10,44236,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A01,Black Images,"White, E",4.0
11,44237,"7:10 - 8:00 PM, T",AAS,050,AAS 050,WELLMN 105,A02,Black Images,"White, E",4.0
12,44237,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A02,Black Images,"White, E",4.0
13,44238,"6:10 - 7:00 PM, R",AAS,050,AAS 050,OLSON 125,A03,Black Images,"White, E",4.0
14,44238,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A03,Black Images,"White, E",4.0
15,44239,"9:00 - 10:20 AM, TR",AAS,050,AAS 050,WELLMN 226,A04,Black Images,"White, E",4.0
16,44239,"7:10 - 8:00 PM, R",AAS,050,AAS 050,WELLMN 105,A04,Black Images,"White, E",4.0
17,@,TBA,AAS,099,AAS 099,TBA,-,Special Study,The Staff,V
18,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
19,44240,"12:10 - 2:00 PM, TR",AAS,107B,AAS 107B,WELLMN 201,001,Afr Heritage North Am,"White, E",4.0
20,10022,"2:10 - 4:00 PM, MW",AAS,145A,AAS 145A,HOAGLD 113,001,Blk Soc & Pol Thought,"Weber, B",4.0
21,45348,"12:10 - 2:00 PM, TR",AAS,155A,AAS 155A,REMOTE,001,Afram Dance & Culture,4.0,
22,44241,"4:10 - 6:00 PM, TR",AAS,176,AAS 176,HOAGLD 113,001,Politics of Resources,"Mukiibi, E",4.0
23,44242,"12:10 - 2:00 PM, MW",AAS,177,AAS 177,STORER 1342,001,Politics of Life in Afri,"Taodzera, S",4.0
24,44389,"10:00 - 11:50 AM, MW",AAS,183A,AAS 183A,HOAGLD 113,001,"Police, Prison & Protest","Weber, B",4.0
25,@,TBA,AAS,192,AAS 192,TBA,-,Intern Afram Studies,The Staff,V
26,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
27,@,TBA,AAS,197T,AAS 197T,TBA,-,Tutoring Bl Studies,The Staff,V
28,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
29,@,TBA,AAS,198,AAS 198,TBA,-,Directed Gp Study,The Staff,V
30,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
31,@,TBA,AAS,199,AAS 199,TBA,-,Special Study,The Staff,V
32,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
33,10061,"1:10 - 4:00 PM, R",AAS,204,AAS 204,HART 2215,001,Methodology,"Ng'weno, B",4.0
34,@,TBA,AAS,298A,AAS 298A,TBA,-,Group Study,The Staff,V
35,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
36,@,TBA,AAS,298B,AAS 298B,TBA,-,Group Study,The Staff,V
37,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
38,@,TBA,AAS,299,AAS 299,TBA,-,Research,The Staff,V
39,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
40,10670,"4:10 - 5:00 PM, M",AGC,290,AGC 290,OLSON 250,001,Seminar,"Anastasio, C",1.0
41,10671,"4:10 - 5:00 PM, W",AGC,290,AGC 290,PLESC TBA,002,Seminar,"Anastasio, C",1.0
42,@,TBA,AGC,298,AGC 298,TBA,-,Group Study,The Staff,V
43,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
44,@,TBA,AGC,299,AGC 299,TBA,-,Research,The Staff,V
45,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
46,12388,"4:10 - 6:00 PM, MW",ARE,018,ARE 018,MDSC C 180,001,Business Law,"Lyon, E",4.0
47,@,TBA,ARE,098,ARE 098,TBA,-,Directed Group Study,The Staff,V
48,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
49,@,TBA,ARE,099,ARE 099,TBA,-,Special Study Undergrad,The Staff,V
50,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
51,12471,"5:10 - 6:00 PM, T",ARE,100A,ARE 100A,WELLMN 201,A01,Intermed Microeconomics,"Shenoy, A",4.0
52,12471,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A01,Intermed Microeconomics,"Shenoy, A",4.0
53,12472,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A02,Intermed Microeconomics,"Shenoy, A",4.0
54,12472,"6:10 - 7:00 PM, T",ARE,100A,ARE 100A,OLSON 105,A02,Intermed Microeconomics,"Shenoy, A",4.0
55,12473,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A03,Intermed Microeconomics,"Shenoy, A",4.0
56,12473,"5:10 - 6:00 PM, W",ARE,100A,ARE 100A,OLSON 105,A03,Intermed Microeconomics,"Shenoy, A",4.0
57,12474,"6:10 - 7:00 PM, W",ARE,100A,ARE 100A,OLSON 267,A04,Intermed Microeconomics,"Shenoy, A",4.0
58,12474,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A04,Intermed Microeconomics,"Shenoy, A",4.0
59,12475,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A05,Intermed Microeconomics,"Shenoy, A",4.0
60,12475,"6:10 - 7:00 PM, T",ARE,100A,ARE 100A,VEIMYR 116,A05,Intermed Microeconomics,"Shenoy, A",4.0
61,12476,"7:10 - 8:00 PM, T",ARE,100A,ARE 100A,STORER 1342,A06,Intermed Microeconomics,"Shenoy, A",4.0
62,12476,"9:00 - 10:20 AM, TR",ARE,100A,ARE 100A,WALKER 1310,A06,Intermed Microeconomics,"Shenoy, A",4.0
63,12477,"6:10 - 7:00 PM, M",ARE,100B,ARE 100B,OLSON 167,A01,Intermed Microeconomics,"Goodrich, R",4.0
64,12477,TBA,ARE,100B,ARE 100B,REMASY,A01,Intermed Microeconomics,"Goodrich, R",4.0
65,12478,TBA,ARE,100B,ARE 100B,REMASY,A02,Intermed Microeconomics,"Goodrich, R",4.0
66,12478,"7:10 - 8:00 PM, M",ARE,100B,ARE 100B,OLSON 141,A02,Intermed Microeconomics,"Goodrich, R",4.0
67,12479,TBA,ARE,100B,ARE 100B,REMASY,A03,Intermed Microeconomics,"Goodrich, R",4.0
68,12479,"6:10 - 7:00 PM, T",ARE,100B,ARE 100B,HART 1128,A03,Intermed Microeconomics,"Goodrich, R",4.0
69,12480,TBA,ARE,100B,ARE 100B,REMASY,A04,Intermed Microeconomics,"Goodrich, R",4.0
70,12480,"7:10 - 8:00 PM, T",ARE,100B,ARE 100B,OLSON 227,A04,Intermed Microeconomics,"Goodrich, R",4.0
71,12481,TBA,ARE,100B,ARE 100B,REMASY,A05,Intermed Microeconomics,"Goodrich, R",4.0
72,12481,"6:10 - 7:00 PM, W",ARE,100B,ARE 100B,HART 1128,A05,Intermed Microeconomics,"Goodrich, R",4.0
73,12482,TBA,ARE,100B,ARE 100B,REMASY,A06,Intermed Microeconomics,"Goodrich, R",4.0
74,12482,"7:10 - 8:00 PM, W",ARE,100B,ARE 100B,OLSON 141,A06,Intermed Microeconomics,"Goodrich, R",4.0
75,12485,"6:10 - 7:00 PM, T",ARE,100B,ARE 100B,WELLMN 115,B01,Intermed Microeconomics,"Constantine, J",4.0
76,12485,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B01,Intermed Microeconomics,"Constantine, J",4.0
77,12486,"7:10 - 8:00 PM, T",ARE,100B,ARE 100B,OLSON 207,B02,Intermed Microeconomics,"Constantine, J",4.0
78,12486,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B02,Intermed Microeconomics,"Constantine, J",4.0
79,12487,"6:10 - 7:00 PM, R",ARE,100B,ARE 100B,CRUESS 107,B03,Intermed Microeconomics,"Constantine, J",4.0
80,12487,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B03,Intermed Microeconomics,"Constantine, J",4.0
81,12488,"7:10 - 8:00 PM, R",ARE,100B,ARE 100B,WELLMN 7,B04,Intermed Microeconomics,"Constantine, J",4.0
82,12488,"11:00 - 11:50 AM, MWF",ARE,100B,ARE 100B,EVERSN 176,B04,Intermed Microeconomics,"Constantine, J",4.0
83,12489,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A01,Econometrics,"Smith, A",4.0
84,12489,"6:10 - 7:00 PM, T",ARE,106,ARE 106,HART 1120,A01,Econometrics,"Smith, A",4.0
85,12490,"7:10 - 8:00 PM, T",ARE,106,ARE 106,OLSON 167,A02,Econometrics,"Smith, A",4.0
86,12490,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A02,Econometrics,"Smith, A",4.0
87,12491,"6:10 - 7:00 PM, T",ARE,106,ARE 106,WELLMN 233,A03,Econometrics,"Smith, A",4.0
88,12491,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A03,Econometrics,"Smith, A",4.0
89,12492,"7:10 - 8:00 PM, T",ARE,106,ARE 106,OLSON 141,A04,Econometrics,"Smith, A",4.0
90,12492,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A04,Econometrics,"Smith, A",4.0
91,12493,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A05,Econometrics,"Smith, A",4.0
92,12493,"5:10 - 6:00 PM, W",ARE,106,ARE 106,WELLMN 205,A05,Econometrics,"Smith, A",4.0
93,12494,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A06,Econometrics,"Smith, A",4.0
94,12494,"6:10 - 7:00 PM, W",ARE,106,ARE 106,STORER 1342,A06,Econometrics,"Smith, A",4.0
95,12495,"5:10 - 6:00 PM, W",ARE,106,ARE 106,WELLMN 229,A07,Econometrics,"Smith, A",4.0
96,12495,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A07,Econometrics,"Smith, A",4.0
97,12496,"9:00 - 10:20 AM, TR",ARE,106,ARE 106,KLEIBR 3,A08,Econometrics,"Smith, A",4.0
98,12496,"6:10 - 7:00 PM, W",ARE,106,ARE 106,OLSON 227,A08,Econometrics,"Smith, A",4.0
99,12497,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A01,Econometrics for Bus Dec,"Ghanem, D",4.0
100,12497,"5:10 - 6:00 PM, T",ARE,107,ARE 107,STORER 1344,A01,Econometrics for Bus Dec,"Ghanem, D",4.0
101,12498,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A02,Econometrics for Bus Dec,"Ghanem, D",4.0
102,12498,"6:10 - 7:00 PM, T",ARE,107,ARE 107,WELLMN 25,A02,Econometrics for Bus Dec,"Ghanem, D",4.0
103,12499,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A03,Econometrics for Bus Dec,"Ghanem, D",4.0
104,12499,"5:10 - 6:00 PM, W",ARE,107,ARE 107,WELLMN 7,A03,Econometrics for Bus Dec,"Ghanem, D",4.0
105,12500,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A04,Econometrics for Bus Dec,"Ghanem, D",4.0
106,12500,"6:10 - 7:00 PM, W",ARE,107,ARE 107,WELLMN 7,A04,Econometrics for Bus Dec,"Ghanem, D",4.0
107,45725,"6:10 - 7:00 PM, T",ARE,107,ARE 107,TBA,A06,Econometrics for Bus Dec,"Ghanem, D",4.0
108,45725,"1:40 - 3:00 PM, TR",ARE,107,ARE 107,HUNT 100,A06,Econometrics for Bus Dec,"Ghanem, D",4.0
109,12501,"4:10 - 6:00 PM, MW",ARE,112,ARE 112,KLEIBR 3,001,Organization Management,"Lundblad, G",4.0
110,12502,"12:10 - 2:00 PM, MW",ARE,113,ARE 113,WELLMN 109,001,Marketing Management,"Lundblad, G",4.0
111,12503,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A01,Economic Development,"Lybbert, T",4.0
112,12503,"5:10 - 6:00 PM, T",ARE,115A,ARE 115A,YOUNG 192,A01,Economic Development,"Lybbert, T",4.0
113,12504,"6:10 - 7:00 PM, T",ARE,115A,ARE 115A,OLSON 227,A02,Economic Development,"Lybbert, T",4.0
114,12504,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A02,Economic Development,"Lybbert, T",4.0
115,12505,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A03,Economic Development,"Lybbert, T",4.0
116,12505,"6:10 - 7:00 PM, T",ARE,115A,ARE 115A,OLSON 167,A03,Economic Development,"Lybbert, T",4.0
117,12506,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A04,Economic Development,"Lybbert, T",4.0
118,12506,"7:10 - 8:00 PM, T",ARE,115A,ARE 115A,BAINER 1134,A04,Economic Development,"Lybbert, T",4.0
119,12507,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A05,Economic Development,"Lybbert, T",4.0
120,12507,"5:10 - 6:00 PM, W",ARE,115A,ARE 115A,VEIMYR 116,A05,Economic Development,"Lybbert, T",4.0
121,12508,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A06,Economic Development,"Lybbert, T",4.0
122,12508,"6:10 - 7:00 PM, W",ARE,115A,ARE 115A,OLSON 167,A06,Economic Development,"Lybbert, T",4.0
123,12509,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A07,Economic Development,"Lybbert, T",4.0
124,12509,"6:10 - 7:00 PM, W",ARE,115A,ARE 115A,OLSON 125,A07,Economic Development,"Lybbert, T",4.0
125,12510,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,KLEIBR 3,A08,Economic Development,"Lybbert, T",4.0
126,12510,"7:10 - 8:00 PM, W",ARE,115A,ARE 115A,OLSON 125,A08,Economic Development,"Lybbert, T",4.0
127,12511,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,HART 1120,A09,Economic Development,"Lybbert, T",4.0
128,12511,"5:10 - 6:00 PM, T",ARE,115A,ARE 115A,TBA,A09,Economic Development,"Lybbert, T",4.0
129,12512,"1:40 - 3:00 PM, TR",ARE,115A,ARE 115A,WELLMN 106,A10,Economic Development,"Lybbert, T",4.0
130,12512,"6:10 - 7:00 PM, T",ARE,115A,ARE 115A,OLSON 141,A10,Economic Development,"Lybbert, T",4.0
131,12513,"3:10 - 4:30 PM, TR",ARE,121,ARE 121,VEIMYR 212,A01,Econ of Ag Sustain,"Merel, P",4.0
132,12513,"5:10 - 6:00 PM, W",ARE,121,ARE 121,WELLMN 226,A01,Econ of Ag Sustain,"Merel, P",4.0
133,12514,"6:10 - 7:00 PM, W",ARE,121,ARE 121,WELLMN 226,A02,Econ of Ag Sustain,"Merel, P",4.0
134,12514,"3:10 - 4:30 PM, TR",ARE,121,ARE 121,VEIMYR 212,A02,Econ of Ag Sustain,"Merel, P",4.0
135,12515,"10:00 - 11:50 AM, TR",ARE,132,ARE 132,WELLMN 234,001,Coop Business Enterprise,"Kiesel, K",4.0
136,12516,"1:40 - 3:00 PM, TR",ARE,136,ARE 136,GROVE 1309,A01,Managerial Marketing,"Kiesel, K",4.0
137,12516,"6:10 - 7:00 PM, R",ARE,136,ARE 136,OLSON 250,A01,Managerial Marketing,"Kiesel, K",4.0
138,12517,"7:10 - 8:00 PM, R",ARE,136,ARE 136,OLSON 250,A02,Managerial Marketing,"Kiesel, K",4.0
139,12517,"1:40 - 3:00 PM, TR",ARE,136,ARE 136,GROVE 1309,A02,Managerial Marketing,"Kiesel, K",4.0
140,12519,"6:10 - 8:00 PM, TR",ARE,145,ARE 145,STORER 1322,001,Farm & Rural Res Apprais,"Maus, J",4.0
141,12520,"5:10 - 6:00 PM, T",ARE,146,ARE 146,HOAGLD 108,A01,Business/Gov't Reg/Soc,"Novan, K",4.0
142,12520,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A01,Business/Gov't Reg/Soc,"Novan, K",4.0
143,12521,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A02,Business/Gov't Reg/Soc,"Novan, K",4.0
144,12521,"6:10 - 7:00 PM, T",ARE,146,ARE 146,OLSON 251,A02,Business/Gov't Reg/Soc,"Novan, K",4.0
145,12522,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A03,Business/Gov't Reg/Soc,"Novan, K",4.0
146,12522,"6:10 - 7:00 PM, W",ARE,146,ARE 146,STORER 1344,A03,Business/Gov't Reg/Soc,"Novan, K",4.0
147,12523,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A04,Business/Gov't Reg/Soc,"Novan, K",4.0
148,12523,"7:10 - 8:00 PM, W",ARE,146,ARE 146,WELLMN 201,A04,Business/Gov't Reg/Soc,"Novan, K",4.0
149,45726,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A05,Business/Gov't Reg/Soc,"Novan, K",4.0
150,45726,"6:10 - 7:00 PM, W",ARE,146,ARE 146,TBA,A05,Business/Gov't Reg/Soc,"Novan, K",4.0
151,45727,"7:10 - 8:00 PM, W",ARE,146,ARE 146,TBA,A06,Business/Gov't Reg/Soc,"Novan, K",4.0
152,45727,"10:30 - 11:50 AM, TR",ARE,146,ARE 146,HUNT 100,A06,Business/Gov't Reg/Soc,"Novan, K",4.0
153,12525,"5:10 - 6:00 PM, M",ARE,155,ARE 155,WELLMN 205,A01,Oper Res & Mgmt Sci,"Constantine, J",4.0
154,12525,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A01,Oper Res & Mgmt Sci,"Constantine, J",4.0
155,12526,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A02,Oper Res & Mgmt Sci,"Constantine, J",4.0
156,12526,"6:10 - 7:00 PM, M",ARE,155,ARE 155,WELLMN 205,A02,Oper Res & Mgmt Sci,"Constantine, J",4.0
157,12527,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A03,Oper Res & Mgmt Sci,"Constantine, J",4.0
158,12527,"5:10 - 6:00 PM, M",ARE,155,ARE 155,WELLMN 109,A03,Oper Res & Mgmt Sci,"Constantine, J",4.0
159,12528,"6:10 - 7:00 PM, M",ARE,155,ARE 155,WELLMN 109,A04,Oper Res & Mgmt Sci,"Constantine, J",4.0
160,12528,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A04,Oper Res & Mgmt Sci,"Constantine, J",4.0
161,12529,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A05,Oper Res & Mgmt Sci,"Constantine, J",4.0
162,12529,"5:10 - 6:00 PM, T",ARE,155,ARE 155,SOCSCI 80,A05,Oper Res & Mgmt Sci,"Constantine, J",4.0
163,12530,"8:00 - 8:50 AM, MWF",ARE,155,ARE 155,CRUESS 1002,A06,Oper Res & Mgmt Sci,"Constantine, J",4.0
164,12530,"6:10 - 7:00 PM, T",ARE,155,ARE 155,WELLMN 205,A06,Oper Res & Mgmt Sci,"Constantine, J",4.0
165,12531,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A01,Principles of Finance,"Hilscher, J",4.0
166,12531,"6:10 - 7:00 PM, T",ARE,171,ARE 171,WELLMN 109,A01,Principles of Finance,"Hilscher, J",4.0
167,12532,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A02,Principles of Finance,"Hilscher, J",4.0
168,12532,"7:10 - 8:00 PM, T",ARE,171,ARE 171,WELLMN 109,A02,Principles of Finance,"Hilscher, J",4.0
169,12533,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A03,Principles of Finance,"Hilscher, J",4.0
170,12533,"6:10 - 7:00 PM, T",ARE,171,ARE 171,SOCSCI 80,A03,Principles of Finance,"Hilscher, J",4.0
171,12534,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A04,Principles of Finance,"Hilscher, J",4.0
172,12534,"7:10 - 8:00 PM, T",ARE,171,ARE 171,SOCSCI 80,A04,Principles of Finance,"Hilscher, J",4.0
173,12535,"6:10 - 7:00 PM, W",ARE,171,ARE 171,SOCSCI 80,A05,Principles of Finance,"Hilscher, J",4.0
174,12535,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A05,Principles of Finance,"Hilscher, J",4.0
175,12536,"7:10 - 8:00 PM, W",ARE,171,ARE 171,SOCSCI 80,A06,Principles of Finance,"Hilscher, J",4.0
176,12536,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A06,Principles of Finance,"Hilscher, J",4.0
177,45729,"6:10 - 7:00 PM, W",ARE,171,ARE 171,WELLMN 5,A07,Principles of Finance,"Hilscher, J",4.0
178,45729,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A07,Principles of Finance,"Hilscher, J",4.0
179,45730,"7:10 - 8:00 PM, W",ARE,171,ARE 171,WELLMN 5,A08,Principles of Finance,"Hilscher, J",4.0
180,45730,"12:10 - 1:30 PM, TR",ARE,171,ARE 171,KLEIBR 3,A08,Principles of Finance,"Hilscher, J",4.0
181,12537,TBA,ARE,172,ARE 172,REMASY,A01,Financial Mgmt of Firm,"Goodrich, R",4.0
182,12537,"6:10 - 7:00 PM, T",ARE,172,ARE 172,OLSON 217,A01,Financial Mgmt of Firm,"Goodrich, R",4.0
183,12538,TBA,ARE,172,ARE 172,REMASY,A02,Financial Mgmt of Firm,"Goodrich, R",4.0
184,12538,"7:10 - 8:00 PM, T",ARE,172,ARE 172,STORER 1344,A02,Financial Mgmt of Firm,"Goodrich, R",4.0
185,12539,TBA,ARE,172,ARE 172,REMASY,A03,Financial Mgmt of Firm,"Goodrich, R",4.0
186,12539,"6:10 - 7:00 PM, W",ARE,172,ARE 172,HOAGLD 108,A03,Financial Mgmt of Firm,"Goodrich, R",4.0
187,12540,"7:10 - 8:00 PM, W",ARE,172,ARE 172,GIEDT 1007,A04,Financial Mgmt of Firm,"Goodrich, R",4.0
188,12540,TBA,ARE,172,ARE 172,REMASY,A04,Financial Mgmt of Firm,"Goodrich, R",4.0
189,45271,"6:10 - 7:00 PM, T",ARE,176,ARE 176,HUTCH 102,A01,Environmental Economics,"Hansen-Lewis, J",4.0
190,45271,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A01,Environmental Economics,"Hansen-Lewis, J",4.0
191,45272,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A02,Environmental Economics,"Hansen-Lewis, J",4.0
192,45272,"7:10 - 8:00 PM, T",ARE,176,ARE 176,HART 1130,A02,Environmental Economics,"Hansen-Lewis, J",4.0
193,45273,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A03,Environmental Economics,"Hansen-Lewis, J",4.0
194,45273,"6:10 - 7:00 PM, M",ARE,176,ARE 176,GIEDT 1007,A03,Environmental Economics,"Hansen-Lewis, J",4.0
195,45274,"4:40 - 6:00 PM, MW",ARE,176,ARE 176,RESSLR 66,A04,Environmental Economics,"Hansen-Lewis, J",4.0
196,45274,"7:10 - 8:00 PM, M",ARE,176,ARE 176,GIEDT 1007,A04,Environmental Economics,"Hansen-Lewis, J",4.0
197,@,TBA,ARE,192,ARE 192,TBA,-,Internship,The Staff,V
198,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
199,@,TBA,ARE,197T,ARE 197T,TBA,-,Tutoring Managerial Econ,The Staff,V
200,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
201,@,TBA,ARE,198,ARE 198,TBA,-,Directed Group Study,The Staff,V
202,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
203,@,TBA,ARE,199,ARE 199,TBA,-,Special Study,The Staff,V
204,@ Denotes consent of instructor required. Contact department for CRN.,,,,,,,,,
205,12719,"10:30 - 11:50 AM, TR",ARE,200B,ARE 200B,CRUESS 107,001,Micro Theory,"Carvajal Escobar, A",4.0
206,12719,TBA,ARE,200B,ARE 200B,TBA,001,Micro Theory,"Carvajal Escobar, A",4.0
207,12720,"10:00 - 11:50 AM, MW",ARE,202B,ARE 202B,PHYSIC 148,001,Applied Microeconomics,"Merel, P",4.0
208,12721,"10:00 - 11:50 AM, MW",ARE,204B,ARE 204B,STORER 1344,001,Micro Analysis II,"Sexton, R",4.0
